['Ahlgren_S', 'Combinatorics', 1],
['Ahlgren_S', 'Number Theory', 9],
['Albin_P', 'Algebraic Topology', 1],
['Albin_P', 'Analysis of PDEs', 2],
['Albin_P', 'Differential Geometry', 21],
['Albin_P', 'Geometric Topology', 1],
['Albin_P', 'Probability', 1],
['Allen_P', 'Analysis of PDEs', 1],
['Allen_P', 'Combinatorics', 19],
['Allen_P', 'Differential Geometry', 5],
['Allen_P', 'Non-Math', 110],
['Allen_P', 'Number Theory', 4],
['Ando_M', 'Algebraic Topology', 13],
['Ando_M', 'Combinatorics', 3],
['Ando_M', 'Non-Math', 46],
['Balogh_J', 'Combinatorics', 53],
['Balogh_J', 'Non-Math', 7],
['Balogh_J', 'Probability', 5],
['Baryshnikov_Y', 'Algebraic Topology', 1],
['Baryshnikov_Y', 'Classical Analysis and ODEs', 1],
['Baryshnikov_Y', 'Combinatorics', 3],
['Baryshnikov_Y', 'Differential Geometry', 1],
['Baryshnikov_Y', 'Dynamical Systems', 1],
['Baryshnikov_Y', 'General Topology', 1],
['Baryshnikov_Y', 'Group Theory', 2],
['Baryshnikov_Y', 'Non-Math', 4],
['Baryshnikov_Y', 'Optimization and Control', 2],
['Baryshnikov_Y', 'Probability', 5],
['Bergvelt_M', 'Non-Math', 4],
['Bergvelt_M', 'Quantum Algebra', 4],
['Bergvelt_M', 'Representation Theory', 1],
['Berndt_B', 'Classical Analysis and ODEs', 2],
['Berndt_B', 'Number Theory', 4],
['Boca_F', 'Dynamical Systems', 2],
['Boca_F', 'Non-Math', 1],
['Boca_F', 'Number Theory', 13],
['Boca_F', 'Operator Algebras', 4],
['Bradlow_S', 'Algebraic Geometry', 14],
['Bradlow_S', 'Differential Geometry', 3],
['Bradlow_S', 'Non-Math', 7],
['Bronski_J', 'Analysis of PDEs', 7],
['Bronski_J', 'Dynamical Systems', 3],
['Bronski_J', 'Non-Math', 9],
['Bronski_J', 'Spectral Theory', 2],
['DeVille_L', 'Dynamical Systems', 9],
['DeVille_L', 'Non-Math', 1],
['DeVille_L', 'Spectral Theory', 2],
['Dey_P', 'Group Theory', 1],
['Dey_P', 'Non-Math', 47],
['Dey_P', 'Optimization and Control', 2],
['Dey_P', 'Probability', 8],
['DiF', 'Non-Math', 24],
['DiF', 'Numerical Analysis', 2],
['Dunfield_N', 'Differential Geometry', 1],
['Dunfield_N', 'Geometric Topology', 25],
['Dunfield_N', 'Group Theory', 2],
['Dunfield_N', 'Non-Math', 1],
['Dunfield_N', 'Number Theory', 1],
['Dutta_S', 'Analysis of PDEs', 1],
['Dutta_S', 'Commutative Algebra', 4],
['Dutta_S', 'Differential Geometry', 1],
['Dutta_S', 'Functional Analysis', 3],
['Dutta_S', 'Non-Math', 189],
['Dutta_S', 'Statistics Theory', 2],
['Duursma_I', 'Algebraic Geometry', 1],
['Duursma_I', 'Combinatorics', 2],
['Duursma_I', 'Non-Math', 8],
