prof_name,category,authors
"Ahlgren, Scott",Combinatorics,1
"Ahlgren, Scott",Number Theory,9
"Albin, Pierre",Algebraic Topology,1
"Albin, Pierre",Analysis of PDEs,2
"Albin, Pierre",Differential Geometry,21
"Albin, Pierre",Geometric Topology,1
"Allen, Patrick",Combinatorics,1
"Allen, Patrick",Number Theory,4
"Ando, Matthew",Algebraic Topology,13
"Balogh, Jozsef",Combinatorics,53
"Balogh, Jozsef",Non-Math,1
"Balogh, Jozsef",Probability,5
"Baryshnikov, Yuliy",Algebraic Topology,1
"Baryshnikov, Yuliy",Classical Analysis and ODEs,1
"Baryshnikov, Yuliy",Combinatorics,3
"Baryshnikov, Yuliy",Differential Geometry,1
"Baryshnikov, Yuliy",Group Theory,2
"Baryshnikov, Yuliy",Non-Math,4
"Baryshnikov, Yuliy",Optimization and Control,1
"Baryshnikov, Yuliy",Probability,1
"Bergvelt, Maarten",Non-Math,2
"Bergvelt, Maarten",Quantum Algebra,4
"Bergvelt, Maarten",Representation Theory,1
"Berndt, Bruce C.",Classical Analysis and ODEs,2
"Berndt, Bruce C.",Number Theory,4
"Boca, Florin",Dynamical Systems,2
"Boca, Florin",Non-Math,1
"Boca, Florin",Number Theory,11
"Boca, Florin",Operator Algebras,4
"Bradlow, Steven",Algebraic Geometry,12
"Bradlow, Steven",Differential Geometry,3
"Bradlow, Steven",Non-Math,6
"Bronski, Jared",Analysis of PDEs,7
"Bronski, Jared",Dynamical Systems,3
"Bronski, Jared",Non-Math,5
"Bronski, Jared",Spectral Theory,2
"D'Angelo, John P.",Complex Variables,15
"DeVille, Lee",Dynamical Systems,9
"DeVille, Lee",Non-Math,1
"DeVille, Lee",Spectral Theory,2
"Dey, Partha",Probability,8
"Di Francesco, Philippe",Combinatorics,6
"Di Francesco, Philippe",Non-Math,9
"Di Francesco, Philippe",Quantum Algebra,2
"Di Francesco, Philippe",Representation Theory,2
"van den Dries, Lou",Differential Geometry,2
"van den Dries, Lou",Logic,6
"Dunfield, Nathan",Differential Geometry,1
"Dunfield, Nathan",Geometric Topology,24
"Dunfield, Nathan",Group Theory,2
"Dunfield, Nathan",Non-Math,1
"Dunfield, Nathan",Number Theory,1
"Dutta, Sankar P.",Commutative Algebra,2
"Duursma, Iwan",Algebraic Geometry,1
"Duursma, Iwan",Non-Math,8
"Duursma, Iwan",Number Theory,7
"Erdogan, Burak",Analysis of PDEs,4
"Feng, Runhuan",Classical Analysis and ODEs,1
"Feng, Runhuan",Non-Math,2
"Feng, Runhuan",Optimization and Control,1
"Fernandes, Rui Loja",Differential Geometry,20
"Fernandes, Rui Loja",Non-Math,1
"Fernandes, Rui Loja",Symplectic Geometry,6
"Ford, Kevin",Combinatorics,1
"Ford, Kevin",Group Theory,2
"Ford, Kevin",Non-Math,1
"Ford, Kevin",Number Theory,37
"Ford, Kevin",Probability,4
"Fuchs, Elena",Combinatorics,1
"Fuchs, Elena",Group Theory,2
"Fuchs, Elena",Number Theory,2
"Haboush,   William J.",Algebraic Geometry,2
"Heller, Jeremiah",Algebraic Geometry,6
"Heller, Jeremiah",Algebraic Topology,3
"Heller, Jeremiah",K-Theory and Homology,1
"Hieronymi, Philipp",Logic,18
"Hinkkanen, Aimo",Classical Analysis and ODEs,1
"Hinkkanen, Aimo",Complex Variables,2
"Hirani, Anil",Algebraic Topology,1
"Hirani, Anil",Differential Geometry,1
"Hirani, Anil",Non-Math,12
"Hirani, Anil",Numerical Analysis,3
"Hur, Vera Mikyoung",Analysis of PDEs,19
"Ivanov, Sergei V.",Differential Geometry,3
"Ivanov, Sergei V.",Group Theory,10
"Junge, Marius",Classical Analysis and ODEs,4
"Junge, Marius",Functional Analysis,20
"Junge, Marius",Non-Math,11
"Junge, Marius",Operator Algebras,29
"Junge, Marius",Probability,4
"Kapovich, Ilya",Geometric Topology,5
"Kapovich, Ilya",Group Theory,57
"Kapovich, Ilya",Non-Math,1
"Katz, Sheldon",Algebraic Geometry,8
"Katz, Sheldon",Non-Math,32
"Kedem, Rinat",Combinatorics,2
"Kedem, Rinat",Non-Math,14
"Kedem, Rinat",Quantum Algebra,3
"Kedem, Rinat",Representation Theory,6
"Kerman, Ely",Differential Geometry,5
"Kerman, Ely",Non-Math,2
"Kerman, Ely",Symplectic Geometry,10
"Kirkpatrick, Kay",Analysis of PDEs,3
"Kirkpatrick, Kay",Non-Math,5
"Kirkpatrick, Kay",Operator Algebras,2
"Kirkpatrick, Kay",Probability,1
"Kirr, Eduard-Wilhelm",Analysis of PDEs,6
"Kirr, Eduard-Wilhelm",Non-Math,4
"Kostochka, Alexandr",Combinatorics,25
"Laugesen, Richard",Analysis of PDEs,6
"Laugesen, Richard",Classical Analysis and ODEs,7
"Laugesen, Richard",Complex Variables,1
"Laugesen, Richard",Non-Math,1
"Laugesen, Richard",Numerical Analysis,1
"Laugesen, Richard",Optimization and Control,1
"Laugesen, Richard",Spectral Theory,8
"Leininger, Christopher",Geometric Topology,42
"Leininger, Christopher",Group Theory,6
"Lerman, Eugene M.",Category Theory,1
"Lerman, Eugene M.",Differential Geometry,8
"Lerman, Eugene M.",Dynamical Systems,5
"Lerman, Eugene M.",Non-Math,8
"Lerman, Eugene M.",Symplectic Geometry,15
"Li, Xiaochun",Analysis of PDEs,1
"Li, Xiaochun",Classical Analysis and ODEs,14
"Li, Xiaochun",Non-Math,1
"Luu, Martin",Non-Math,4
"McCarthy, Randy",Algebraic Topology,5
"McCarthy, Randy",K-Theory and Homology,1
"Mineyev, Igor",Metric Geometry,1
"Mineyev, Igor",Operator Algebras,1
"Nevins, Thomas",Algebraic Geometry,14
"Nevins, Thomas",Non-Math,1
"Nevins, Thomas",Representation Theory,1
"Nevins, Thomas",Rings and Algebras,1
"Nikolaev, Igor G.",Algebraic Geometry,9
"Nikolaev, Igor G.",Differential Geometry,1
"Nikolaev, Igor G.",Geometric Topology,7
"Nikolaev, Igor G.",K-Theory and Homology,2
"Nikolaev, Igor G.",Metric Geometry,1
"Nikolaev, Igor G.",Number Theory,12
"Nikolaev, Igor G.",Operator Algebras,16
"Pascaleff, James",Algebraic Topology,1
"Pascaleff, James",Symplectic Geometry,3
"Rapti, Zoi",Non-Math,4
"Rezk, Charles",Algebraic Topology,21
"Rezk, Charles",Category Theory,1
"Reznick, Bruce",Algebraic Geometry,7
"Reznick, Bruce",Combinatorics,2
"Reznick, Bruce",Number Theory,8
"Ruan, Zhong-Jin",Functional Analysis,1
"Ruan, Zhong-Jin",Operator Algebras,7
"Schenck, Hal",Algebraic Geometry,17
"Schenck, Hal",Algebraic Topology,1
"Schenck, Hal",Combinatorics,2
"Schenck, Hal",Commutative Algebra,7
"Schenck, Hal",Non-Math,1
"Schenck, Hal",Numerical Analysis,2
"Solecki, Slawomir",Combinatorics,4
"Solecki, Slawomir",Dynamical Systems,1
"Solecki, Slawomir",Functional Analysis,2
"Solecki, Slawomir",Logic,4
"Solecki, Slawomir",Representation Theory,1
"Song, Renming",Dynamical Systems,1
"Song, Renming",Numerical Analysis,1
"Song, Renming",Probability,42
"Sowers, Richard B.",Non-Math,6
"Sowers, Richard B.",Probability,2
"Stojanoska, Vesna",Algebraic Topology,8
"Stojanoska, Vesna",History and Overview,1
"Stojanoska, Vesna",Number Theory,1
"Tolman, Susan",Differential Geometry,8
"Tolman, Susan",Non-Math,4
"Tolman, Susan",Symplectic Geometry,16
"Tserunyan, Anush",Dynamical Systems,1
"Tserunyan, Anush",Logic,2
"Tumanov, Alexander",Analysis of PDEs,1
"Tumanov, Alexander",Complex Variables,10
"Tumanov, Alexander",Dynamical Systems,1
"Tumanov, Alexander",Metric Geometry,1
"Tumanov, Alexander",Non-Math,5
"Tumanov, Alexander",Symplectic Geometry,1
"Tyson, Jeremy",Analysis of PDEs,3
"Tyson, Jeremy",Complex Variables,1
"Tyson, Jeremy",Differential Geometry,1
"Tyson, Jeremy",Dynamical Systems,1
"Tyson, Jeremy",Functional Analysis,1
"Tyson, Jeremy",Geometric Topology,1
"Tyson, Jeremy",Metric Geometry,6
"Tzirakis, Nikolaos",Analysis of PDEs,13
"Tzirakis, Nikolaos",Non-Math,3
"Wu, Jang-Mei",Classical Analysis and ODEs,1
"Wu, Jang-Mei",Complex Variables,1
"Wu, Jang-Mei",Dynamical Systems,1
"Wu, Jang-Mei",Metric Geometry,3
"Yong, Alexander",Algebraic Geometry,8
"Yong, Alexander",Combinatorics,35
"Yong, Alexander",History and Overview,1
"Yong, Alexander",Representation Theory,1
